ID,DATE,PROVINCE_CODE,LATITUDE,LONGITUDE,CAUSE,SIZE_HA,OUT_DATE,YEAR,MONTH,DAY
261952,1/5/2020 0:00,Ontario,46.30850896,-80.83590411,h,11.0,25/5/2020 0:00,2020,5,21
261969,1/5/2020 0:00,Ontario,50.16500855,-94.9189091,h,6.5,22/5/2020 0:00,2020,5,19
261977,1/5/2020 0:00,Ontario,46.64830898,-81.39260433,u,3.2,27/5/2020 0:00,2020,5,23
261984,1/5/2020 0:00,Ontario,49.79990855,-94.35130886,u,1.0,11/5/2020 0:00,2020,5,10
261993,1/5/2020 0:00,Ontario,46.41850904,-79.63810373,h,5.0,24/5/2020 0:00,2020,5,20
262007,1/5/2020 0:00,Ontario,49.33200873,-91.41310789,h,0.1,12/5/2020 0:00,2020,5,12
262011,1/5/2020 0:00,Ontario,48.35160875,-89.25750706,h,0.1,9/5/2020 0:00,2020,5,9
262022,1/5/2020 0:00,Ontario,46.2723089,-81.78320441,h,1.2,20/5/2020 0:00,2020,5,20
262027,1/5/2020 0:00,Ontario,47.66830924,-79.60110386,h,15.8,25/7/2020 0:00,2020,5,21
262030,1/5/2020 0:00,Ontario,51.15440875,-93.85770898,h,0.4,1/6/2020 0:00,2020,5,31
262032,1/5/2020 0:00,Ontario,48.88490888,-88.42750688,h,0.1,1/5/2020 0:00,2020,5,1
262034,1/5/2020 0:00,Ontario,46.23140905,-78.6947034,h,2.1,21/5/2020 0:00,2020,5,20
262039,1/5/2020 0:00,Ontario,48.758109,-86.39650622,h,0.2,25/5/2020 0:00,2020,5,24
262044,1/5/2020 0:00,Ontario,45.22410896,-77.21310282,l,9.0,30/5/2020 0:00,2020,5,25
262049,1/5/2020 0:00,Ontario,45.0904089,-77.91830304,h,1.5,23/5/2020 0:00,2020,5,23
262057,1/5/2020 0:00,Ontario,46.32100892,-81.68260439,h,1.4,28/5/2020 0:00,2020,5,26
262061,1/5/2020 0:00,Ontario,46.22890893,-81.25060424,h,0.2,23/5/2020 0:00,2020,5,23
262074,1/5/2020 0:00,Ontario,46.36450893,-81.52380434,h,9.2,28/5/2020 0:00,2020,5,23
262083,1/5/2020 0:00,Ontario,45.00420891,-77.45210288,h,1.0,30/5/2020 0:00,2020,5,27
262087,1/5/2020 0:00,Ontario,46.28680898,-80.37090396,h,0.1,22/5/2020 0:00,2020,5,22
262095,1/5/2020 0:00,Ontario,48.70060849,-93.38010837,h,0.1,7/5/2020 0:00,2020,5,7
262103,1/5/2020 0:00,Ontario,50.14970855,-94.9295091,h,0.6,12/5/2020 0:00,2020,5,11
262107,1/5/2020 0:00,Ontario,53.40970918,-91.77310883,h,0.1,26/5/2020 0:00,2020,5,25
262111,1/5/2020 0:00,Ontario,46.12830894,-80.71580405,h,0.9,25/5/2020 0:00,2020,5,22
262119,1/5/2020 0:00,Ontario,46.22460895,-80.70290406,h,0.1,18/5/2020 0:00,2020,5,18
262122,1/5/2020 0:00,Ontario,45.62860887,-80.4071039,h,0.3,28/5/2020 0:00,2020,5,27
262124,1/5/2020 0:00,Ontario,49.72140852,-94.65580894,h,1.0,10/5/2020 0:00,2020,5,10
262129,1/5/2020 0:00,Ontario,48.92430855,-93.0143083,h,0.1,31/5/2020 0:00,2020,5,30
262135,1/5/2020 0:00,Ontario,49.81290862,-93.54790862,h,22.3,2/6/2020 0:00,2020,5,21
262143,1/5/2020 0:00,Ontario,51.80510882,-93.97190916,h,0.1,21/5/2020 0:00,2020,5,21
262154,1/5/2020 0:00,Ontario,48.6955088,-89.28950712,h,0.3,30/5/2020 0:00,2020,5,29
262163,1/5/2020 0:00,Ontario,48.10040928,-80.10740407,h,0.1,23/5/2020 0:00,2020,5,21
262181,1/5/2020 0:00,Ontario,46.19090908,-78.04980319,h,0.1,4/5/2020 0:00,2020,5,4
262183,1/5/2020 0:00,Ontario,51.64900942,-85.92240654,h,0.3,20/5/2020 0:00,2020,5,19
262197,1/5/2020 0:00,Ontario,47.88950898,-84.80670559,l,0.3,4/6/2020 0:00,2020,5,26
262201,1/5/2020 0:00,Ontario,46.62860883,-84.16610522,h,0.2,24/5/2020 0:00,2020,5,23
262206,1/5/2020 0:00,Ontario,46.14430908,-77.8031031,h,7.0,27/5/2020 0:00,2020,5,22
262213,1/5/2020 0:00,Ontario,49.5261087,-92.06180812,h,0.1,11/5/2020 0:00,2020,5,11
262218,1/5/2020 0:00,Ontario,46.13700909,-77.55370302,h,0.2,28/5/2020 0:00,2020,5,26
262222,1/5/2020 0:00,Ontario,51.81460882,-93.99030917,h,0.4,20/5/2020 0:00,2020,5,19
262233,1/5/2020 0:00,Ontario,46.92770909,-80.31670401,h,0.1,21/5/2020 0:00,2020,5,20
262237,1/5/2020 0:00,Ontario,46.35510907,-78.75970344,h,0.1,16/5/2020 0:00,2020,5,16
262240,1/5/2020 0:00,Ontario,50.17670855,-94.9084091,h,0.3,8/5/2020 0:00,2020,5,8
262246,1/5/2020 0:00,Ontario,46.30450896,-80.83760411,h,0.6,20/5/2020 0:00,2020,5,19
262252,1/5/2020 0:00,Ontario,48.79940849,-93.61610846,h,0.1,21/5/2020 0:00,2020,5,20
262260,1/5/2020 0:00,Ontario,46.40790898,-80.80790411,h,1.3,22/5/2020 0:00,2020,5,20
262263,1/5/2020 0:00,Ontario,46.23060896,-80.62060403,h,0.5,22/5/2020 0:00,2020,5,21
262270,1/5/2020 0:00,Ontario,45.38770894,-78.18800316,h,0.5,21/5/2020 0:00,2020,5,20
262276,1/5/2020 0:00,Ontario,48.44980875,-89.51530715,h,3.0,23/5/2020 0:00,2020,5,20
262282,1/5/2020 0:00,Ontario,48.53440877,-89.34340711,h,0.1,18/5/2020 0:00,2020,5,18
262291,1/5/2020 0:00,Ontario,44.1065087,-78.61670318,h,25.0,27/5/2020 0:00,2020,5,22
262295,1/5/2020 0:00,Ontario,49.98820858,-94.3564089,h,0.4,18/5/2020 0:00,2020,5,17
262305,1/5/2020 0:00,Ontario,50.14980862,-93.99970882,h,0.9,9/5/2020 0:00,2020,5,9
262314,1/5/2020 0:00,Ontario,46.55330881,-84.17120521,h,0.1,22/5/2020 0:00,2020,5,22
262326,1/5/2020 0:00,Ontario,49.72280871,-92.2208082,h,1.0,8/5/2020 0:00,2020,5,7
262332,1/5/2020 0:00,Ontario,46.2860089,-81.80550442,h,4.8,25/5/2020 0:00,2020,5,23
262336,1/5/2020 0:00,Ontario,49.44060898,-88.12490688,h,0.1,16/5/2020 0:00,2020,5,16
262342,1/5/2020 0:00,Ontario,48.66850904,-85.68180598,h,1.2,21/5/2020 0:00,2020,5,20
262345,1/5/2020 0:00,Ontario,46.76320909,-79.68870379,h,3.7,1/6/2020 0:00,2020,5,18
262352,1/5/2020 0:00,Ontario,45.89670893,-80.09460383,h,0.1,17/5/2020 0:00,2020,5,17
262356,1/5/2020 0:00,Ontario,45.68970889,-80.14940382,h,0.1,10/5/2020 0:00,2020,5,9
262361,1/5/2020 0:00,Ontario,46.43280906,-79.24780361,h,0.1,19/5/2020 0:00,2020,5,19
262367,1/5/2020 0:00,Ontario,48.35690875,-89.28510707,h,0.1,17/5/2020 0:00,2020,5,17
262383,1/5/2020 0:00,Ontario,46.12350886,-82.17840452,h,2.2,22/5/2020 0:00,2020,5,20
262392,1/5/2020 0:00,Ontario,48.35720875,-89.26570706,h,0.7,18/5/2020 0:00,2020,5,17
262400,1/5/2020 0:00,Ontario,48.38790871,-89.94470728,h,1.0,23/5/2020 0:00,2020,5,22
262404,1/5/2020 0:00,Ontario,48.62540877,-89.46300716,h,0.3,18/5/2020 0:00,2020,5,17
262408,1/5/2020 0:00,Ontario,46.18920903,-79.03860351,h,0.2,22/5/2020 0:00,2020,5,22
262411,1/5/2020 0:00,Ontario,45.24640898,-76.8430027,h,3.2,24/5/2020 0:00,2020,5,19
262418,1/5/2020 0:00,Ontario,51.80260882,-93.98250916,h,0.4,19/5/2020 0:00,2020,5,18
262426,1/5/2020 0:00,Ontario,45.15290882,-79.90040369,h,0.1,26/5/2020 0:00,2020,5,22
262430,1/5/2020 0:00,Ontario,52.04470882,-94.2500093,h,12.5,24/5/2020 0:00,2020,5,18
262439,1/5/2020 0:00,Ontario,49.83310861,-93.71110868,h,0.2,8/5/2020 0:00,2020,5,8
262444,1/5/2020 0:00,Ontario,50.16080855,-94.9173091,h,1.0,12/5/2020 0:00,2020,5,11
262449,1/5/2020 0:00,Ontario,48.65400929,-81.33190455,h,2.5,22/5/2020 0:00,2020,5,21
262453,1/5/2020 0:00,Ontario,49.0229088,-89.85680735,h,0.1,13/5/2020 0:00,2020,5,13
262461,1/5/2020 0:00,Ontario,48.58600874,-89.84890728,h,0.2,6/5/2020 0:00,2020,5,5
262464,1/5/2020 0:00,Ontario,44.86540884,-78.39500317,h,0.1,24/5/2020 0:00,2020,5,23
262466,1/5/2020 0:00,Ontario,46.03580905,-78.1329032,l,13.9,17/5/2020 0:00,2020,5,9
262471,1/5/2020 0:00,Ontario,46.43370906,-79.17960358,h,0.2,22/5/2020 0:00,2020,5,21
262481,1/5/2020 0:00,Ontario,46.72480882,-84.51530534,h,0.2,22/5/2020 0:00,2020,5,21
262487,1/5/2020 0:00,Ontario,48.64560871,-90.47540748,h,0.1,16/5/2020 0:00,2020,5,13
262497,1/5/2020 0:00,Ontario,48.18240917,-82.29450481,h,0.1,24/5/2020 0:00,2020,5,23
262500,1/5/2020 0:00,Ontario,48.33270875,-89.25670705,h,0.1,13/5/2020 0:00,2020,5,13
262507,1/5/2020 0:00,Ontario,48.9403089,-88.30480685,h,0.1,17/5/2020 0:00,2020,5,17
262514,1/5/2020 0:00,Ontario,48.67589427,-89.89406998,h,110.0,26/5/2020 0:00,2020,5,13
